driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,Xin,Yin,Xout,Yout
-11.92870465,0,0,-9.070153668,-5.005916217,-9.079832167,4.994079099
-12.07803778,0,0,-9.189459343,-5.006032266,-9.199186335,4.993963004
-12.22737163,0,0,-9.308755621,-5.006149124,-9.31855126,4.993846078
-12.37670621,0,0,-9.428056863,-5.006266704,-9.437912542,4.99372844
-12.52604155,0,0,-9.547360593,-5.00638496,-9.557272757,4.993610128
-12.67537768,0,0,-9.666657094,-5.006504072,-9.67664161,4.993490944
-12.82471461,0,0,-9.785968091,-5.006623734,-9.795997518,4.993371237
-12.97405239,0,0,-9.905259392,-5.006744401,-9.915374674,4.993250484
-13.12339102,0,0,-10.02457796,-5.006865488,-10.03472624,4.993129362
-13.27273054,0,0,-10.14386397,-5.006987733,-10.15411201,4.993007015
-13.42207097,0,0,-10.2631904,-5.007110267,-10.27345912,4.992884461
-13.57141234,0,0,-10.38247105,-5.007234112,-10.39285373,4.992760498
-13.72075468,0,0,-10.50180568,-5.007358108,-10.51219624,4.992636494
-13.870098,0,0,-10.62108197,-5.007483551,-10.63159896,4.992510919
-14.01944234,0,0,-10.74042245,-5.007609061,-10.75093944,4.992385408
-14.16878771,0,0,-10.8597003,-5.007736025,-10.87034459,4.99225831
-14.31813416,0,0,-10.97904042,-5.007863111,-10.98968948,4.992131219
-14.46748169,0,0,-11.09832761,-5.007991486,-11.10908942,4.992002723
-14.61683034,0,0,-11.21766374,-5.008120116,-11.22844254,4.991874075
-14.76618012,0,0,-11.33696013,-5.008249881,-11.34783764,4.991744203
-14.91553107,0,0,-11.4562926,-5.008380029,-11.4671989,4.991614024
-15.06488322,0,0,-11.57559773,-5.008511171,-11.58658985,4.991482788
-15.21423657,0,0,-11.69492669,-5.008642822,-11.70595929,4.991351092
-15.36359116,0,0,-11.81424024,-5.008775335,-11.82534657,4.991218497
-15.51294702,0,0,-11.93356569,-5.008908487,-11.94472437,4.991085287
-15.66230416,0,0,-12.05288774,-5.009042371,-12.06410811,4.990951334
-15.8116626,0,0,-12.17220981,-5.009177021,-12.18349436,4.990816612
-15.96102238,0,0,-12.29154044,-5.009312273,-12.30287469,4.990681304
-16.11038351,0,0,-12.41085925,-5.009448419,-12.42226945,4.990545072
-16.25974601,0,0,-12.53019855,-5.009585037,-12.54164643,4.99040841
-16.40910991,0,0,-12.64951429,-5.009722672,-12.66104967,4.990270674
-16.55847523,0,0,-12.76886234,-5.009860652,-12.78042341,4.990132665
-16.70784199,0,0,-12.88817525,-5.009999769,-12.89983508,4.989993434
-16.85721021,0,0,-13.00753205,-5.010139102,-13.01920575,4.989854084
-17.00657991,0,0,-13.12684229,-5.010279693,-13.13862587,4.989713364
-17.15595111,0,0,-13.24620787,-5.010420374,-13.25799361,4.98957268
-17.30532383,0,0,-13.36551558,-5.01056243,-13.37742218,4.989430482
-17.45469809,0,0,-13.48488522,-5.010704559,-13.49679183,4.989288353
-17.60407391,0,0,-13.60419993,-5.01084797,-13.6162195,4.989144806
-17.7534513,0,0,-13.72356797,-5.010991557,-13.73559692,4.989001208
-17.90283028,0,0,-13.84289183,-5.011136296,-13.85502167,4.988856348
-18.05221088,0,0,-13.9622573,-5.011281333,-13.97440795,4.988711285
-18.20159311,0,0,-14.08159031,-5.011427392,-14.09382992,4.988565118
-18.35097697,0,0,-14.20095336,-5.011573871,-14.21322507,4.988418599
-18.50036251,0,0,-14.32029553,-5.011721245,-14.33264438,4.98827113
-18.64974971,0,0,-14.43965627,-5.011869159,-14.45204841,4.988123163
-18.79913861,0,0,-14.5590076,-5.012017842,-14.5714652,4.987974398
-18.94852922,0,0,-14.67836617,-5.012167183,-14.6908781,4.98782499
-19.09792156,0,0,-14.79772666,-5.012317169,-14.8102925,4.987674935
-19.24731563,0,0,-14.91708317,-5.01246793,-14.92971427,4.987524093
-19.39671145,0,0,-15.03645281,-5.012619215,-15.04912641,4.987372754
-19.54610903,0,0,-15.1558074,-5.012771388,-15.16855705,4.987220485
-19.6955084,0,0,-15.27518618,-5.012923964,-15.28796704,4.987067868
-19.84490956,0,0,-15.39453896,-5.013077543,-15.40740655,4.986914178
-19.99431253,0,0,-15.51392689,-5.013231406,-15.52681451,4.98676029
-20.14371731,0,0,-15.63327797,-5.013386382,-15.64626289,4.986605187
-20.29312393,0,0,-15.75267503,-5.013541526,-15.76566893,4.986450032
-20.44253239,0,0,-15.87202453,-5.013697893,-15.88512616,4.986293524
-20.5919427,0,0,-15.99142974,-5.013854334,-16.00453136,4.986137084
-20.74135489,0,0,-16.11077974,-5.014012064,-16.12399549,4.985979203
-20.89076895,0,0,-16.23018767,-5.014169894,-16.24340538,4.98582137
-21.0401849,0,0,-16.34954713,-5.014328886,-16.36286751,4.985662242
-21.18960275,0,0,-16.46895343,-5.014488092,-16.48228656,4.985503019
-21.33902251,0,0,-16.58832261,-5.014648333,-16.60174653,4.985342657
-21.48844419,0,0,-16.70772745,-5.014808899,-16.72117464,4.98518206
-21.63786781,0,0,-16.82710647,-5.014970371,-16.84063242,4.985020482
-21.78729337,0,0,-16.9465101,-5.015132274,-16.96006943,4.984858533
-21.93672088,0,0,-17.06589883,-5.015294958,-17.07952524,4.984695758
-22.08615035,0,0,-17.18530149,-5.015458176,-17.198971,4.984532481
-22.2355818,0,0,-17.30469974,-5.015622055,-17.31842511,4.984368526
-22.38501522,0,0,-17.42410163,-5.015786565,-17.43787949,4.984203943
-22.53445064,0,0,-17.54350878,-5.015951632,-17.55733259,4.984038813
-22.68388805,0,0,-17.66290946,-5.01611744,-17.67679612,4.983872918
-22.83332748,0,0,-17.78232529,-5.016283705,-17.7962485,4.983706602
-22.98276891,0,0,-17.90172414,-5.016450837,-17.91572188,4.983539367
-23.13221238,0,0,-18.0211489,-5.016618324,-18.03517338,4.983371842
-23.28165787,0,0,-18.14054571,-5.016786807,-18.15465686,4.983203237
-23.43110541,0,0,-18.25997965,-5.016955539,-18.27410729,4.983034482
-23.58055499,0,0,-18.37937435,-5.017125398,-18.39360103,4.982864482
-23.73000663,0,0,-18.49881778,-5.017295395,-18.51305015,4.982694477
-23.87946033,0,0,-18.6182117,-5.01746662,-18.63255287,4.982523096
-24.02891611,0,0,-18.73766209,-5.017637926,-18.75200326,4.98235179
-24.17837396,0,0,-18.8570615,-5.017810426,-18.87150878,4.982179138
-24.3278339,0,0,-18.97651365,-5.017983059,-18.99096572,4.982006497
-24.47729593,0,0,-19.09592395,-5.018156739,-19.11046867,4.981832684
-24.62676006,0,0,-19.21537537,-5.018330652,-19.22993469,4.981658749
-24.77622629,0,0,-19.33479619,-5.018505476,-19.34943551,4.981483808
-24.92569463,0,0,-19.45424725,-5.018680628,-19.4689103,4.981308621
-25.07516509,0,0,-19.57367742,-5.018856583,-19.58841022,4.981132564
-25.22463767,0,0,-19.69312805,-5.019032962,-19.7078939,4.980956136
-25.37411239,0,0,-19.81256691,-5.019210051,-19.82739361,4.980778958
-25.52358923,0,0,-19.93201682,-5.019387669,-19.94688652,4.980601275
-25.67306822,0,0,-20.05146448,-5.019565903,-20.06638597,4.980422964
-25.82254935,0,0,-20.17091358,-5.019744775,-20.18588825,4.980244013
-25.97203263,0,0,-20.29037018,-5.019924165,-20.30538734,4.980064559
-26.12151806,0,0,-20.40981841,-5.020104301,-20.4248991,4.979884327
