driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,D1,D2
-300.2579902,-96.75275064,-0.039998364,5.00103003,5.00103003
-300.2501237,-96.85394094,-0.040000728,5.000994469,5.000994469
-300.2424258,-96.9533714,-0.040003067,5.001030133,5.001030133
-300.2350846,-97.05460627,-0.040003672,5.000994385,5.000994385
-300.2283819,-97.15410458,-0.040002432,5.000994289,5.000994289
-300.2216795,-97.2535981,-0.040001191,5.001030286,5.001030286
-300.2158591,-97.35493934,-0.039999963,5.000994223,5.000994223
-300.2101523,-97.45449158,-0.039998756,5.001030361,5.001030361
-300.2048581,-97.55586535,-0.039998356,5.000994153,5.000994153
-300.2001473,-97.65546617,-0.039998748,5.00103049,5.00103049
-300.1953794,-97.75687243,-0.03999917,5.000994079,5.000994079
-300.191665,-97.85651166,-0.04000034,5.000994016,5.000994016
-300.1879507,-97.95614777,-0.040001509,5.001030564,5.001030564
-300.1847061,-98.05761785,-0.040001412,5.000993958,5.000993958
-300.1819885,-98.1572832,-0.040000192,5.001030673,5.001030673
-300.1792709,-98.25877414,-0.039998969,5.000993895,5.000993895
-300.1775502,-98.35845853,-0.039998138,5.000993842,5.000993842
-300.1758296,-98.45814027,-0.039997307,5.001030732,5.001030732
-300.1746361,-98.55966347,-0.039997355,5.000993793,5.000993793
-300.1739124,-98.65935498,-0.039998119,5.001030832,5.001030832
-300.1732463,-98.76088791,-0.039998947,5.000993738,5.000993738
-300.1735195,-98.8605789,-0.04000042,5.000993693,5.000993693
-300.1737928,-98.96026761,-0.040001892,5.001030887,5.001030887
-300.1746512,-99.06180183,-0.040001825,5.00099365,5.00099365
-300.1759214,-99.16148066,-0.040000603,5.001030969,5.001030969
-300.1773074,-99.26301309,-0.039999386,5.0009936,5.0009936
-300.1795744,-99.36267175,-0.039998462,5.00099356,5.00099356
-300.1818413,-99.46232838,-0.039997538,5.001031011,5.001031011
-300.1847514,-99.56383062,-0.03999756,5.000993521,5.000993521
-300.1880147,-99.66345767,-0.039998231,5.001031086,5.001031086
-300.1914522,-99.76494712,-0.039998999,5.000993476,5.000993476
-300.1957116,-99.86453429,-0.040000401,5.00099344,5.00099344
-300.1999708,-99.96411965,-0.040001804,5.001031127,5.001031127
-300.2049317,-100.0655481,-0.040001612,5.000993406,5.000993406
-300.2101866,-100.1650841,-0.040000419,5.001031187,5.001031187
-300.2156746,-100.2664884,-0.039999247,5.000993365,5.000993365
-300.2219245,-100.3659649,-0.039998381,5.000993334,5.000993334
-300.2281743,-100.4654398,-0.039997515,5.001031218,5.001031218
-300.2351839,-100.5667518,-0.039997662,5.000993305,5.000993305
-300.2424281,-100.6661578,-0.039998392,5.001031275,5.001031275
