Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle.Side_Slip_Angle,Gyro.gyro_X,Gyro.gyro_Y,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
4.61E-05,9.950234396,-5.13E-06,-5.76E-06,4.59E-06,10.47501834,2.55E-05,-8.664375448,0,0,-1.11E-05,6.62166E-05
4.61E-05,9.95048934,-5.12E-06,-5.76E-06,4.60E-06,10.57452196,2.54E-05,-8.763876924,0,0,-1.10E-05,6.64812E-05
4.62E-05,9.950745725,-5.12E-06,-5.76E-06,4.60E-06,10.67402814,2.53E-05,-8.8633809,0,0,-1.09E-05,6.67453E-05
4.62E-05,9.951002198,-5.12E-06,-5.77E-06,4.61E-06,10.77353688,2.52E-05,-8.962887396,0,0,-1.08E-05,6.70076E-05
4.63E-05,9.951257396,-5.12E-06,-5.77E-06,4.61E-06,10.87304818,2.50E-05,-9.062396422,0,0,-1.07E-05,6.72669E-05
4.63E-05,9.95151111,-5.11E-06,-5.77E-06,4.61E-06,10.97256202,2.49E-05,-9.161907971,0,0,-1.06E-05,6.75215E-05
4.64E-05,9.951764316,-5.11E-06,-5.78E-06,4.62E-06,11.0720784,2.48E-05,-9.261422031,0,0,-1.05E-05,6.77716E-05
4.64E-05,9.952018169,-5.11E-06,-5.78E-06,4.62E-06,11.17159731,2.47E-05,-9.360938594,0,0,-1.04E-05,6.80181E-05
4.65E-05,9.952272952,-5.10E-06,-5.78E-06,4.63E-06,11.27111876,2.46E-05,-9.460457665,0,0,-1.03E-05,6.82612E-05
4.65E-05,9.952527914,-5.10E-06,-5.78E-06,4.63E-06,11.37064277,2.45E-05,-9.559979257,0,0,-1.02E-05,6.8501E-05
4.66E-05,9.952782017,-5.10E-06,-5.78E-06,4.64E-06,11.47016932,2.44E-05,-9.659503378,0,0,-1.00E-05,6.87361E-05
4.66E-05,9.953034859,-5.09E-06,-5.79E-06,4.64E-06,11.5696984,2.42E-05,-9.759030027,0,0,-9.93E-06,6.89656E-05
4.67E-05,9.953286935,-5.09E-06,-5.79E-06,4.65E-06,11.66923001,2.41E-05,-9.858559193,0,0,-9.82E-06,6.91893E-05
4.67E-05,9.953539083,-5.09E-06,-5.79E-06,4.65E-06,11.76876414,2.40E-05,-9.958090869,0,0,-9.70E-06,6.94075E-05
4.68E-05,9.953791703,-5.09E-06,-5.79E-06,4.65E-06,11.8683008,2.39E-05,-10.05762506,0,0,-9.59E-06,6.96211E-05
4.68E-05,9.954044439,-5.08E-06,-5.79E-06,4.66E-06,11.96783998,2.38E-05,-10.15716176,0,0,-9.48E-06,6.98298E-05
4.69E-05,9.954296564,-5.08E-06,-5.79E-06,4.66E-06,12.06738168,2.37E-05,-10.25670098,0,0,-9.37E-06,7.00333E-05
4.69E-05,9.954547639,-5.08E-06,-5.78E-06,4.67E-06,12.16692591,2.36E-05,-10.35624273,0,0,-9.25E-06,7.02306E-05
4.70E-05,9.954797851,-5.08E-06,-5.78E-06,4.67E-06,12.26647263,2.35E-05,-10.45578699,0,0,-9.14E-06,7.04214E-05
4.70E-05,9.955047767,-5.07E-06,-5.78E-06,4.68E-06,12.36602186,2.33E-05,-10.55533375,0,0,-9.03E-06,7.06063E-05
4.71E-05,9.955297783,-5.07E-06,-5.78E-06,4.68E-06,12.46557359,2.32E-05,-10.65488302,0,0,-8.92E-06,7.07853E-05
