Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
-0.229632204,11.98578323,-0.014889677,-0.253984451,-441.4766451,-137.7366812,-0.01999992,-0.001029893,-1.084783448,10.60410344
-0.229622278,11.98588853,-0.014889734,-0.256383056,-441.5931433,-137.7084801,-0.01999996,-0.000986219,-1.08519746,10.60352443
-0.229612158,11.98599341,-0.014889773,-0.25878162,-441.7095639,-137.679976,-0.019999958,-0.000967738,-1.084543488,10.60293841
-0.22960107,11.98609816,-0.014889753,-0.261180146,-441.8259216,-137.6511922,-0.019999919,-0.000948411,-1.085199052,10.60235121
-0.229589676,11.98620243,-0.014889684,-0.263578629,-441.9422129,-137.6221557,-0.019999914,-0.000902932,-1.084281139,10.60175529
-0.229577194,11.98630666,-0.014889526,-0.265977068,-442.0584274,-137.59279,-0.019999954,-0.000908005,-1.085179968,10.60115957
-0.229564374,11.98641038,-0.014889303,-0.268375452,-442.174587,-137.5632215,-0.019999966,-0.000835594,-1.084000322,10.60055304
-0.229550413,11.98651415,-0.014888977,-0.270773781,-442.2906552,-137.5332745,-0.019999926,-0.0008651,-1.085144632,10.59994778
-0.229536138,11.98661735,-0.014888587,-0.273172039,-442.4066808,-137.5031747,-0.019999907,-0.0007658,-1.083705823,10.59932973
-0.229520719,11.98672065,-0.014888095,-0.275570224,-442.5225998,-137.4726473,-0.019999947,-0.000819747,-1.08509801,10.59871452
-0.229505116,11.9868233,-0.014887552,-0.277968317,-442.6384889,-137.4420167,-0.019999973,-0.00069358,-1.083627697,10.59808507
-0.229489347,11.98692598,-0.014886931,-0.280366322,-442.7542558,-137.4109095,-0.019999932,-0.000771967,-1.085045274,10.59746067
-0.229474131,11.98702796,-0.014886294,-0.282764222,-442.870006,-137.3797487,-0.0199999,-0.000618949,-1.083825356,10.59682333
-0.229460339,11.98712978,-0.01488564,-0.285162029,-442.9856178,-137.3480626,-0.019999939,-0.000721764,-1.084987198,10.59619257
-0.229447991,11.98723087,-0.01488503,-0.287559739,-443.1012267,-137.3163722,-0.019999978,-0.000541901,-1.084015188,10.59555309
-0.229437526,11.98733169,-0.014884476,-0.289957367,-443.2166806,-137.2841078,-0.019999939,-0.000669134,-1.084917682,10.59492025
-0.2294285,11.98743183,-0.014884025,-0.292354917,-443.3321355,-137.2518432,-0.019999899,-0.000508879,-1.084192001,10.59428149
-0.22942112,11.98753166,-0.014883683,-0.294752406,-443.4474388,-137.2190467,-0.019999933,-0.0006141,-1.084833871,10.59364807
-0.229414701,11.98763093,-0.014883475,-0.29714984,-443.5627328,-137.1862047,-0.019999974,-0.000478272,-1.084351302,10.59300985
-0.229409403,11.98772986,-0.014883394,-0.299547235,-443.6778871,-137.1528807,-0.019999947,-0.000556731,-1.084729954,10.59237451
-0.22940445,11.98782831,-0.014883437,-0.301944599,-443.7930174,-137.119462,-0.019999907,-0.000445378,-1.084487945,10.59173531
-0.229400071,11.98792636,-0.014883587,-0.304341943,-443.9080201,-137.0856112,-0.019999927,-0.000497153,-1.084601509,10.59109709
-0.229395485,11.988024,-0.01488382,-0.306739275,-444.0229838,-137.0516167,-0.019999966,-0.000410343,-1.084598524,10.59045651
-0.229391054,11.98812122,-0.014884116,-0.309136602,-444.1378325,-137.0172397,-0.019999953,-0.000435532,-1.084446231,10.58981501
-0.229386019,11.98821813,-0.014884439,-0.31153393,-444.2526267,-136.9826702,-0.019999913,-0.000373344,-1.084681835,10.58917214
-0.229380864,11.98831459,-0.014884772,-0.313931261,-444.3673191,-136.9477677,-0.019999919,-0.000372044,-1.084263888,10.58852588
-0.229374832,11.98841083,-0.014885077,-0.3163286,-444.4819409,-136.9126242,-0.019999959,-0.000334545,-1.084738499,10.58787912
-0.229368511,11.98850658,-0.014885349,-0.318725943,-444.5964746,-136.8771968,-0.01999996,-0.000306839,-1.084055952,10.58722687
-0.229361141,11.98860217,-0.01488555,-0.321123292,-444.710921,-136.84148,-0.01999992,-0.000294083,-1.084770848,10.58657552
-0.229353407,11.98869723,-0.014885691,-0.323520638,-444.8252936,-136.8055285,-0.019999913,-0.000240029,-1.083825504,10.58591687
-0.229344539,11.98879221,-0.014885735,-0.325917982,-444.9395618,-136.7692393,-0.019999953,-0.000252038,-1.084782527,10.58526038
-0.229335307,11.98888663,-0.01488571,-0.328315309,-445.0537708,-136.7327644,-0.019999967,-0.000171669,-1.083576643,10.58459449
-0.229324916,11.98898105,-0.01488558,-0.330712619,-445.167858,-136.6959038,-0.019999927,-0.000208447,-1.084778036,10.58393192
-0.229314208,11.98907484,-0.014885384,-0.333109894,-445.2819011,-136.6589061,-0.019999906,-0.000101774,-1.083314145,10.58325813
