Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
-0.044919864,15.00876572,-0.006113141,0.132660189,-361.8038084,-196.6627605,-0.005276094,-0.008533354,-0.318894646,10.02245836
-0.044793692,15.00880124,-0.006095511,0.1318888,-361.9524461,-196.6835002,-0.005261076,-0.008560222,-0.318092463,10.02097826
-0.044667458,15.00883637,-0.006077884,0.131119666,-362.1010933,-196.7041746,-0.00524606,-0.008534568,-0.317005475,10.01950151
-0.044541216,15.00887113,-0.006060255,0.130352786,-362.249775,-196.7246845,-0.005231047,-0.008558415,-0.316173632,10.01802892
-0.044414781,15.0089055,-0.006042625,0.129588161,-362.3984588,-196.7450992,-0.005216039,-0.008559054,-0.315229994,10.01655978
-0.044288758,15.00893949,-0.006025,0.128825791,-362.5471678,-196.7654151,-0.005201032,-0.008543568,-0.314184919,10.01509468
-0.044162483,15.00897312,-0.006007373,0.128065674,-362.6958876,-196.7855716,-0.005186031,-0.008570292,-0.313382094,10.01363352
-0.044036144,15.00900636,-0.005989749,0.12730781,-362.8446165,-196.8056636,-0.005171032,-0.008545247,-0.312299206,10.01217583
-0.043909813,15.00903924,-0.005972123,0.126552201,-362.9933787,-196.8255939,-0.005156037,-0.00856849,-0.311463299,10.01072239
-0.043783298,15.00907173,-0.005954497,0.125798845,-363.1421426,-196.8454299,-0.005141047,-0.008569375,-0.310521296,10.00927254
-0.043657185,15.00910384,-0.005936876,0.125047743,-363.2909309,-196.8651688,-0.005126058,-0.008553859,-0.309475672,10.00782681
-0.043530821,15.0091356,-0.005919252,0.124298893,-363.4397293,-196.88475,-0.005111076,-0.008580465,-0.308672028,10.00638512
-0.043404385,15.00916697,-0.005901631,0.123552297,-363.5885364,-196.9042678,-0.005096096,-0.008556057,-0.307593052,10.00494701
-0.043277967,15.00919799,-0.005884009,0.122807953,-363.7373756,-196.9236265,-0.005081121,-0.00857873,-0.306752996,10.00351325
